Marca;Producto;Peso (Ml);;Costo;Precio;Sexo;Tipo;Tester;Estuche
Armani;Acqua Di Gio Profumo;75;;545.266;1.908.431;Hombre;EDP;;
Armani;Acqua Di Gio Profumo;125;;713.066;2.495.731;Hombre;EDP;;
Armani;Acqua Di Gio Profumo;180;;830.526;2.906.841;Hombre;EDP;;
Armani;Acqua Di Gio Profumo;75;;461.366;1.614.781;Hombre;EDP;Tester;
Armani;Acqua Di Gio Tester;100;;511.706;1.790.971;Hombre;EDT;Tester;
Armani;Armani Code Absolu Estuche Parfum Pour Homme + Gel de Ducha;75;;713.066;2.495.731;Hombre;EDP;;Estuche
Armani;Armani Code Absolu Pour Homme Parfum;110;;671.116;2.348.906;Hombre;EDP;;
Armani;Armani Code Colonia Tester;75;;360.686;1.262.401;Hombre;EDC;Tester;
Armani;Armani Code Desodorante;150;;167.716;587.006;Hombre;DESODORANTE;;
Armani;Armani Code Men;75;;587.216;2.055.256;Hombre;EDT;;
Armani;Armani Code Pour Homme;110;;671.116;2.348.906;Hombre;EDP;;
Armani;Armani Code Profumo ;60;;520.096;1.820.336;Hombre;EDP;;
Armani;Armani Code Profumo Tester;60;;461.366;1.614.781;Hombre;EDP;Tester;
Armani;Armani Code Tester;75;;545.266;1.908.431;Hombre;EDT;Tester;
Armani;Armani Diamonds Black Carat;50;;419.416;1.467.956;Hombre;EDT;;
Armani;Armani Eau De Nuit;100;;562.046;1.967.161;Hombre;EDT;;
Armani;Armani Eau Pour Homme;100;;587.216;2.055.256;Hombre;EDT;;
Armani;Code Men;125;;671.116;2.348.906;Hombre;ML;;
Armani;Emporio Diamonds Hombre Tester;75;;503.316;1.761.606;Hombre;EDT;Tester;
Armani;Emporio El;100;;629.166;2.202.081;Hombre;EDT;;
Armani;Stronger With You;100;;545.266;1.908.431;Hombre;EDT;;
Armani;Stronger With You Intensely;100;;587.216;2.055.256;Hombre;EDP;;
Armani;Stronger With You Tester;100;;486.536;1.702.876;Hombre;EDT;Tester;
Armani;Acqua Di Gio Mujer;100;;587.216;2.055.256;Mujer;EDT;;
Armani;Acqua Di Gioia;30;;209.666;733.831;Mujer;EDP;;
Armani;Air Di Gioia;30;;251.616;880.656;Mujer;EDP;;
Armani;Air Di Gioia;50;;364.881;1.277.084;Mujer;EDP;;
Armani;Armani Code Absolu Edp 30ml;30;;293.566;1.027.481;Mujer;EDP;;
Armani;Armani Code Absolu Edp 75ml;75;;562.046;1.967.161;Mujer;EDP;;
Armani;Armani Code Eau Fraiche Turquoise Edt 75ml;75;;419.416;1.467.956;Mujer;EDT;;
Armani;Armani Code Femme Edp 75ml;75;;587.216;2.055.256;Mujer;EDP;;
Armani;Armani Code Femme Tester Edp 75ml;75;;545.266;1.908.431;Mujer;EDP;Tester;
Armani;Armani Code Turquoise Eau Fraiche Mujer Tester Edt 75ml;75;;335.516;1.174.306;Mujer;EDT;Tester;
Armani;Armani Diamond Rose Edt 30ml;30;;251.616;880.656;Mujer;EDT;;
Armani;Because Its You Estuche Edp 30ml+Locion 75ml;30 + 75;;285.176;998.116;Mujer;LOCION;;Estuche
Armani;Emporio Armani In Love With You Tester Edp 100ml;100;;503.316;1.761.606;Mujer;EDP;Tester;
Armani;Emporio Diamonds Tester Edp 100ml;100;;503.316;1.761.606;Mujer;EDP;Tester;
Armani;Emporio She Mujer Edp 100ml;100;;587.216;2.055.256;Mujer;EDP;;
Armani;Emporio She Tester Edp 50ml;50;;343.906;1.203.671;Mujer;EDP;Tester;
Armani;In Love With You Edp 100ml;100;;562.046;1.967.161;Mujer;EDP;;
Armani;In Love With You Edp 30ml;30;;251.616;880.656;Mujer;EDP;;
Armani;In Love With You Freeze Edp 100ml;100;;612.386;2.143.351;Mujer;EDP;;
Armani;Light Di Gioia 100ml Edp;100;;536.876;1.879.066;Mujer;ML;;
Armani;Light Di Gioia Tester Edp 100ml;100;;461.366;1.614.781;Mujer;EDP;Tester;
Armani;Si De Armani Edp 100ml;100;;687.896;2.407.636;Mujer;EDP;;
Armani;Si De Armani Edp 30ml;30;;318.736;1.115.576;Mujer;EDP;;
Armani;Si De Armani Edp 50ml;50;;503.316;1.761.606;Mujer;EDP;;
Armani;Si Fiori De Armani Edp 100ml;100;;671.116;2.348.906;Mujer;EDP;;
Armani;Si Intense Tester Edp 100ml;100;;629.166;2.202.081;Mujer;EDP;Tester;
Armani;Si Passion Edp 100ml;100;;687.896;2.407.636;Mujer;EDP;;
Armani;Si Passione Edp 50ml;50;;503.316;1.761.606;Mujer;EDP;;
Armani;Si Passione Red Maestro Edp 50ml;50;;402.636;1.409.226;Mujer;EDP;;
Armani;Sky Di Gioia Tester Edp 100ml;100;;377.466;1.321.131;Mujer;EDP;Tester;
Armani;Terra Di Gioia Edp 100ml;100;;637.556;2.231.446;Mujer;EDP;;
Azzaro;Azzaro Chrome Desodorante 150ml;150;;75.426;263.991;Hombre;DESODORANTE;;
Azzaro;Azzaro Chrome Edicion Limitada Edt 100ml;100;;192.886;675.101;Hombre;EDT;;
Azzaro;Azzaro Chrome Edt 100ml;100;;251.616;880.656;Hombre;EDT;;
Azzaro;Azzaro Chrome Edt 200ml;200;;318.736;1.115.576;Hombre;EDT;;
Azzaro;Azzaro Chrome Extreme Edp 100ml;100;;285.176;998.116;Hombre;EDP;;
Azzaro;Azzaro Chrome Intense Edt 100ml;100;;234.836;821.926;Hombre;EDT;;
Azzaro;Azzaro Chrome Tester Edt 100ml;100;;222.251;777.879;Hombre;EDT;Tester;
Azzaro;Azzaro Chrome United Edt 200ml;200;;301.956;1.056.846;Hombre;EDT;;
Azzaro;Azzaro Elixir Edt 100ml;100;;243.226;851.291;Hombre;EDT;;
Azzaro;Azzaro Leau Hombre Edt 100ml;100;;142.546;498.911;Hombre;EDT;;
Azzaro;Azzaro Pour Homme Edt 200ml;200;;318.736;1.115.576;Hombre;EDT;;
Azzaro;Azzaro Pour Homme Estuche Edt 100ml+30ml;100 + 30;;285.176;998.116;Hombre;ML;;Estuche
Azzaro;Azzaro Pour Homme Estuche Edt 100ml+Desodorante 150ml;100 + 150;;268.396;939.386;Hombre;DESODORANTE;;Estuche
Azzaro;Azzaro Pour Homme Intense Edp 100ml;100;;251.616;880.656;Hombre;EDP;;
