NOMBRE,LONG_KM_EN,RUTA_NRO,ANCHO,TIPO,LONG_MTS
RAMAL RUTA 10 - ACEPAR 2DA LINEA,9,,12,1,9331
RAMAL JASY KAÑY - MANDU'ARÁ,16,,12,1,16307
ACCESO A YRYBUCUÁ,4,,12,1,4310
ACCESO A CURUGUATY,4,,12,1,4364
RUTA HORQUETA – TACUATÍ,41,,12,2,40947
RAMAL RUTA 3 – TACUATÍ,36,,12,3,35542
RUTA SAN JUAN NEPOMUCENO – TAVAÍ,50,,12,3,50191
RUTA TAVAÍ - DR. RAÚL PEÑA,30,,12,3,29537
RAMAL RUTA 8 - UNIÓN,16,,12,2,16006
RAMAL RUTA 3 - UNIÓN,15,,12,2,14897
RAMAL RUTA 3 - UNIÓN,16,,12,1,15612
RAMAL RUTA 11 - SAN PABLO,19,,12,3,18546
RAMAL BARRIO SAN PEDRO - LUZ BELLA,8,,12,2,8112
RAMAL BARRIO SAN PEDRO - LUZ BELLA,24,,12,3,24463
RAMAL RUTA 10 - YVU PORÃ,3,,12,1,3447
RAMAL RUTA 10 - CAPIIBARY,18,,12,2,18448
RAMAL ARROYOS Y ESTEROS - ITA PIRÚ,15,,8,2,15187
ACCESO A ACUÑA- BERNARDINO CABALLERO,5,,8,2,5381
ACCESO A ACUÑA- BERNARDINO CABALLERO,2,,8,2,2177
ACCESO A ACUÑA- BERNARDINO CABALLERO,1,,8,2,1287
ACCESO A ACUÑA- BERNARDINO CABALLERO,1,,8,2,1222
TRAMO ATYRÁ - MONTE ALTO,3,,8,2,3412
TRAMO MONTE ALTO - HU YVATY – TOBATÍ,8,,8,3,7891
TRAMO ATYRÁ - CANDIA - ALMADA,8,,8,2,7765
RAMAL CAACUPÉ - PIRIBEBUY,16,,8,2,15657
MARISCAL ESTIGARRIBIA,1,,8,1,1220
RUTA ARROYOS Y ESTEROS - PRIMERO DE MARZO,24,,8,2,24198
TRAMO EUSEBIO AYALA - ACOSTA ÑU,13,,8,3,13059
RUTA NEULAND - JOEL ESTIGARRIBIA,151,,12,3,151497
TRAMO JOEL ESTIGARRIBIA - CRUCE DON SILVIO,92,,12,3,91676
ACCESO A DR. PEDRO P. PEÑA,11,,12,3,10871
,76,,12,3,75891
TRAMO CRUCE DON SILVIO - POZO HONDO,56,,12,3,56277
TRAMO FORTÍN INFANTE RIVAROLA - CRUCE DON SILVIO,53,,12,3,53296
PICADA 500 MCAL ESTIGARRIBIA - CRUCE DON SILVIO,163,,12,3,163462
TRAMO MARISCAL ESTIGARRIBIA – CAPITÁN PABLO LAGERENZA,244,,12,3,244205
LÍNEA 1 CAPITÁN PABLO LAGERENZA - BAHÍA NEGRA,273,,12,3,272989
TRAMO TTE. ESTEBAN MARTÍNEZ - TTE. ADOLFO ROJAS SILVA,28,,12,3,27623
RAMAL RUTA 9 - SALAZAR - PUERTO PINASCO,184,,12,3,183845
RAMAL RUTA 5 - YPYTA - MBARAKAJA'I,30,,8,2,29935
RUTA BUENA VISTA - SAN FRANCISCO - 3 DE MAYO,42,,8,3,41690
RAMAL RUTA 8 - 3 DE MAYO,15,,8,3,14959
ACCESO A BUENA VISTA,13,,12,2,13302
RUTA CURUGUATY - VILLA YGATIMÍ,41,,12,3,41279
RUTA YGATIMÍ - YPE JHÚ,45,,12,3,45060
RUTA YPE JHÚ - ITANARÁ,18,,12,3,18058
RAMAL CURUGUATY - LUZA BELLA,62,,12,3,62383
ACCESO A MARACANÁ,30,,12,3,29624
RAMAL RUTA 10 – YBYPYTÃ - BRITEZ KUE,5,,8,2,4738
RAMAL RUTA 10 – YBYPYTÃ - BRITEZ KUE,24,,8,3,24400
RAMAL RUTA 2 - ALDAMA CAÑADA,8,,12,1,8003
ACCESO A MBOCAYATY DEL SUR,1,,8,1,1472
ACCESO A MBOCAYATY DEL SUR,1,,8,1,917
RAMAL ITAUGUÁ - PATIÑO,5,,8,1,5170
RUTA ITAUGUÁ - POTRERITO - ÑU PO'I,7,,8,1,7005
RAMAL ITAUGUÁ GUAZÚ - ÑU PO'I,3,,8,1,2585
ACCESO A POTRERO GUASU,3,,8,2,2807
RAMAL ITÁ - KURUPIKA'YTY - JUKYTY,10,,8,2,10351
ACCESO A  ARRÚA'I,9,,8,2,8776
