"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","CLAVE_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","CLAVE_y","longitude","latitude"
"05","CAAGUAZÚ","20","VAQUERÍA","0520","POINT (-6214080.615150251 -2875576.308033279)","05","CAAGUAZÚ","20","VAQUERÍA","0520","-6214080.615150251","-2875576.308033279"
"05","CAAGUAZÚ","21","TEMBIAPORÃ","0521","POINT (-6164865.435418836 -2915842.9833228295)","05","CAAGUAZÚ","21","TEMBIAPORÃ","0521","-6164865.435418836","-2915842.9833228295"
"05","CAAGUAZÚ","22","NUEVA TOLEDO","0522","POINT (-6191741.668422442 -2872398.9023171347)","05","CAAGUAZÚ","22","NUEVA TOLEDO","0522","-6191741.668422442","-2872398.9023171347"
"06","CAAZAPÁ","01","CAAZAPÁ","0601","POINT (-6275031.733190731 -3023307.028680562)","06","CAAZAPÁ","01","CAAZAPÁ","0601","-6275031.733190731","-3023307.028680562"
"06","CAAZAPÁ","02","ABAÍ","0602","POINT (-6227936.736498252 -3004011.1344424617)","06","CAAZAPÁ","02","ABAÍ","0602","-6227936.736498252","-3004011.1344424617"
"06","CAAZAPÁ","03","BUENA VISTA","0603","POINT (-6243211.323616218 -3022271.253422387)","06","CAAZAPÁ","03","BUENA VISTA","0603","-6243211.323616218","-3022271.253422387"
"06","CAAZAPÁ","04","DR. MOISÉS S. BERTONI","0604","POINT (-6288053.338858611 -3043484.4503601715)","06","CAAZAPÁ","04","DR. MOISÉS S. BERTONI","0604","-6288053.338858611","-3043484.4503601715"
"06","CAAZAPÁ","05","GRAL. HIGINIO MORINIGO","0605","POINT (-6243396.409344236 -3002454.290975293)","06","CAAZAPÁ","05","GRAL. HIGINIO MORINIGO","0605","-6243396.409344236","-3002454.290975293"
"06","CAAZAPÁ","06","MACIEL","0606","POINT (-6286509.896340008 -3021676.264281377)","06","CAAZAPÁ","06","MACIEL","0606","-6286509.896340008","-3021676.264281377"
"06","CAAZAPÁ","07","SAN JUAN NEPOMUCENO","0607","POINT (-6226569.370751902 -3012762.891815934)","06","CAAZAPÁ","07","SAN JUAN NEPOMUCENO","0607","-6226569.370751902","-3012762.891815934"
"06","CAAZAPÁ","08","TAVAÍ","0608","POINT (-6178011.195490964 -3021367.887595728)","06","CAAZAPÁ","08","TAVAÍ","0608","-6178011.195490964","-3021367.887595728"
"06","CAAZAPÁ","09","YEGROS","0609","POINT (-6278825.71961676 -3055625.313782693)","06","CAAZAPÁ","09","YEGROS","0609","-6278825.71961676","-3055625.313782693"
"06","CAAZAPÁ","10","YUTY","0610","POINT (-6261748.652656616 -3075319.5979326204)","06","CAAZAPÁ","10","YUTY","0610","-6261748.652656616","-3075319.5979326204"
"06","CAAZAPÁ","11","3 DE MAYO","0611","POINT (-6244595.390963877 -3058784.9503886)","06","CAAZAPÁ","11","3 DE MAYO","0611","-6244595.390963877","-3058784.9503886"
"07","ITAPÚA","01","ENCARNACIÓN","0701","POINT (-6218961.515899966 -3164936.066821493)","07","ITAPÚA","01","ENCARNACIÓN","0701","-6218961.515899966","-3164936.066821493"
"07","ITAPÚA","02","BELLA VISTA","0702","POINT (-6186234.831814503 -3129597.0875544986)","07","ITAPÚA","02","BELLA VISTA","0702","-6186234.831814503","-3129597.0875544986"
"07","ITAPÚA","03","CAMBYRETÃ","0703","POINT (-6214987.438453536 -3166667.77414718)","07","ITAPÚA","03","CAMBYRETÃ","0703","-6214987.438453536","-3166667.77414718"
"07","ITAPÚA","04","CAPITÁN MEZA","0704","POINT (-6159887.881858704 -3102050.8836119426)","07","ITAPÚA","04","CAPITÁN MEZA","0704","-6159887.881858704","-3102050.8836119426"
"07","ITAPÚA","05","CAPITÁN MIRANDA","0705","POINT (-6211428.629176082 -3150837.5836723824)","07","ITAPÚA","05","CAPITÁN MIRANDA","0705","-6211428.629176082","-3150837.5836723824"
"07","ITAPÚA","06","NUEVA ALBORADA","0706","POINT (-6199660.2361618355 -3157145.5487019755)","07","ITAPÚA","06","NUEVA ALBORADA","0706","-6199660.2361618355","-3157145.5487019755"
"07","ITAPÚA","07","CARMEN DEL PARANÁ","0707","POINT (-6250821.031671792 -3151245.6535353977)","07","ITAPÚA","07","CARMEN DEL PARANÁ","0707","-6250821.031671792","-3151245.6535353977"
"07","ITAPÚA","08","CORONEL BOGADO","0708","POINT (-6260706.412257007 -3143627.340128241)","07","ITAPÚA","08","CORONEL BOGADO","0708","-6260706.412257007","-3143627.340128241"
"07","ITAPÚA","09","CARLOS ANTONIO LÓPEZ","0709","POINT (-6095498.176502303 -3048601.1637725513)","07","ITAPÚA","09","CARLOS ANTONIO LÓPEZ","0709","-6095498.176502303","-3048601.1637725513"
"07","ITAPÚA","10","NATALIO","0710","POINT (-6137002.149791549 -3093203.1451599323)","07","ITAPÚA","10","NATALIO","0710","-6137002.149791549","-3093203.1451599323"
"07","ITAPÚA","11","FRAM","0711","POINT (-6235432.886810952 -3135128.5028730663)","07","ITAPÚA","11","FRAM","0711","-6235432.886810952","-3135128.5028730663"
"07","ITAPÚA","12","GENERAL ARTIGAS","0712","POINT (-6258655.6527964575 -3115206.2392426045)","07","ITAPÚA","12","GENERAL ARTIGAS","0712","-6258655.6527964575","-3115206.2392426045"
"07","ITAPÚA","13","GENERAL DELGADO","0713","POINT (-6292174.360116959 -3134811.950558666)","07","ITAPÚA","13","GENERAL DELGADO","0713","-6292174.360116959","-3134811.950558666"
"07","ITAPÚA","14","HOHENAU","0714","POINT (-6194974.298926631 -3134346.778688747)","07","ITAPÚA","14","HOHENAU","0714","-6194974.298926631","-3134346.778688747"
"07","ITAPÚA","15","JESÚS","0715","POINT (-6204820.367906587 -3130524.6617432944)","07","ITAPÚA","15","JESÚS","0715","-6204820.367906587","-3130524.6617432944"
"07","ITAPÚA","16","JOSÉ LEANDRO OVIEDO","0716","POINT (-6264957.828360797 -3091615.8150004083)","07","ITAPÚA","16","JOSÉ LEANDRO OVIEDO","0716","-6264957.828360797","-3091615.8150004083"
"07","ITAPÚA","17","OBLIGADO","0717","POINT (-6192318.264580002 -3130557.006807372)","07","ITAPÚA","17","OBLIGADO","0717","-6192318.264580002","-3130557.006807372"
"07","ITAPÚA","18","MAYOR JULIO DIONISIO OTAÑO","0718","POINT (-6091479.71509339 -3042913.0987560223)","07","ITAPÚA","18","MAYOR JULIO DIONISIO OTAÑO","0718","-6091479.71509339","-3042913.0987560223"
"07","ITAPÚA","19","SAN COSME Y DAMIAN","0719","POINT (-6270893.689291107 -3163886.8905873047)","07","ITAPÚA","19","SAN COSME Y DAMIAN","0719","-6270893.689291107","-3163886.8905873047"
"07","ITAPÚA","20","SAN PEDRO DEL PARANÁ","0720","POINT (-6257062.145791685 -3102830.5619017477)","07","ITAPÚA","20","SAN PEDRO DEL PARANÁ","0720","-6257062.145791685","-3102830.5619017477"
"07","ITAPÚA","21","SAN RAFAEL DEL PARANÁ","0721","POINT (-6122057.172845451 -3073167.2846665373)","07","ITAPÚA","21","SAN RAFAEL DEL PARANÁ","0721","-6122057.172845451","-3073167.2846665373"
"07","ITAPÚA","22","TRINIDAD","0722","POINT (-6201237.88938509 -3140018.029009276)","07","ITAPÚA","22","TRINIDAD","0722","-6201237.88938509","-3140018.029009276"
"07","ITAPÚA","23","EDELIRA","0723","POINT (-6153695.158544127 -3094492.3140915507)","07","ITAPÚA","23","EDELIRA","0723","-6153695.158544127","-3094492.3140915507"
"07","ITAPÚA","24","TOMÁS ROMERO PEREIRA","0724","POINT (-6151581.232501269 -3065026.5392135135)","07","ITAPÚA","24","TOMÁS ROMERO PEREIRA","0724","-6151581.232501269","-3065026.5392135135"
"07","ITAPÚA","25","ALTO VERÁ","0725","POINT (-6208129.998456841 -3092490.8944315817)","07","ITAPÚA","25","ALTO VERÁ","0725","-6208129.998456841","-3092490.8944315817"
"07","ITAPÚA","26","LA PAZ","0726","POINT (-6221642.54101176 -3122770.2465989087)","07","ITAPÚA","26","LA PAZ","0726","-6221642.54101176","-3122770.2465989087"
"07","ITAPÚA","27","YATYTAY","0727","POINT (-6131738.428841825 -3083177.4391889647)","07","ITAPÚA","27","YATYTAY","0727","-6131738.428841825","-3083177.4391889647"
"07","ITAPÚA","28","SAN JUAN DEL PARANÁ","0728","POINT (-6229857.024055615 -3161344.0093044597)","07","ITAPÚA","28","SAN JUAN DEL PARANÁ","0728","-6229857.024055615","-3161344.0093044597"
"07","ITAPÚA","29","PIRAPÓ","0729","POINT (-6183020.184691787 -3107892.266368757)","07","ITAPÚA","29","PIRAPÓ","0729","-6183020.184691787","-3107892.266368757"
"07","ITAPÚA","30","ITAPÚA POTY","0730","POINT (-6180606.211948204 -3077300.2031490575)","07","ITAPÚA","30","ITAPÚA POTY","0730","-6180606.211948204","-3077300.2031490575"
"08","MISIONES","01","SAN JUAN BAUTISTA DE LAS MISIO","0801","POINT (-6360796.119851142 -3082225.6893770136)","08","MISIONES","01","SAN JUAN BAUTISTA DE LAS MISIO","0801","-6360796.119851142","-3082225.6893770136"
"08","MISIONES","02","AYOLAS","0802","POINT (-6326266.571537944 -3170673.3553754874)","08","MISIONES","02","AYOLAS","0802","-6326266.571537944","-3170673.3553754874"
"08","MISIONES","03","SAN IGNACIO","0803","POINT (-6347827.993702853 -3109143.6638608966)","08","MISIONES","03","SAN IGNACIO","0803","-6347827.993702853","-3109143.6638608966"
